Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2015-12-17,1921.343994140625,4704.36181640625,12.951104164123535,77.7149658203125,12.958941459655762,77.71745300292969,9.968903541564941,25.0,0.5,8315,,,,,80481994,5498410,
2015-12-18,1881.4578857421875,3600.4921875,12.951184272766113,77.71546173095703,12.958940505981445,77.71672821044922,2.3584952354431152,2.3584952354431152,2.3584952354431152,7990,,,,,40559912,4829976,
2015-12-19,1757.6436767578125,793.4500122070312,17.898090362548828,73.94620513916016,18.572011947631836,73.97132110595703,2.83990478515625,12.25,0.5,3624,,,,884443,59440584,1261222,
2015-12-20,2169.78857421875,2865.506591796875,18.562021255493164,73.91643524169922,19.573894500732422,74.20751190185547,24.109390258789062,48.0,0.7071067690849304,5193,,,,3819408,57598646,3211154,
2015-12-21,1625.92333984375,316.76788330078125,20.163127899169922,73.9913101196289,20.163227081298828,73.99163055419922,0.8087126016616821,2.0,0.5,2921,,,,,83306052,547562,
2015-12-22,2114.49853515625,3794.898681640625,20.16315269470215,73.99137115478516,20.16323471069336,73.99138641357422,0.5238226652145386,1.520690679550171,0.5,10311,,,,2353496,72599828,4760446,
2015-12-23,1610.7138671875,202.7255859375,20.162948608398438,73.99059295654297,20.163951873779297,73.99151611328125,2.459811210632324,9.0,0.5,1568,,,,,84786284,292671,
2015-12-24,1773.57373046875,916.7512817382812,20.16303825378418,73.99141693115234,20.16319465637207,73.99159240722656,0.7793900370597839,1.0,0.5,5561,,,,799825,76859517,1671108,
2015-12-25,1636.215087890625,437.697998046875,20.16274642944336,73.99066162109375,20.16318702697754,73.99158477783203,5.0,8.5,1.5,4664,,,,,75056481,720038,
2015-12-26,1647.012451171875,691.4464111328125,20.16301727294922,73.99082946777344,20.163467407226562,73.99154663085938,,,,3401,,,,,80492805,900991,
2015-12-27,1957.819091796875,5234.49755859375,20.163097381591797,73.99127197265625,20.17146110534668,73.99372100830078,1.1514265537261963,1.346291184425354,0.75,16191,,,,,64394901,6109683,
2015-12-28,625.4072875976562,,20.1628475189209,73.99138641357422,20.16326332092285,73.99175262451172,0.6035446524620056,0.7071067690849304,0.5,1218,,,,,33915075,,
2016-01-01,1520.827880859375,,,,,,,,,,,,,,,,
2016-01-02,1593.2498779296875,,,,,,,,,,,,,,,,
2016-01-03,1593.2498779296875,,,,,,,,,,,,,,,,
2016-01-04,1593.2498779296875,,,,,,,,,,,,,,,,
2016-01-05,1593.2498779296875,,,,,,,,,,,,,,,,
2016-01-06,1593.2498779296875,,,,,,,,,,,,,,,,
2016-01-07,1593.2498779296875,,,,,,,,,,,,,,,,
2016-01-08,1907.5001220703125,4038.73974609375,12.951444625854492,77.71548461914062,12.958843231201172,77.71683502197266,0.5,0.5,0.5,8642,,,,,76461026,5266403,
2016-01-09,1751.71630859375,1294.3336181640625,12.922422409057617,77.64818572998047,12.951087951660156,77.71564483642578,0.8703389763832092,1.5811388492584229,0.7071067690849304,2533,,,,434128,73301534,1922457,
